plant_code,plant_name,latitude,longitude
264,Phoenix,38.032103,-120.326537
265,Pit 1,40.99084,-121.498243
266,Pit 3,40.997448,-121.748139
267,Pit 4,40.986361,-121.84944
268,Pit 5,40.986197,-121.977594
269,Pit 6,40.922568,-121.992906
270,Pit 7,40.847462,-121.990798
271,Pittsburg Power,38.039168,-121.894469
272,Poe,39.722892,-121.469814
274,Potter Valley,39.361786,-123.127934
275,Rock Creek,39.90521,-121.345226
276,San Joaquin 2,37.203233,-119.497508
277,San Joaquin 3,37.253718,-119.519352
279,Salt Springs,38.497914,-120.21811
280,South,40.395396,-121.879186
281,Spaulding 1,39.324613,-120.644807
282,Spaulding 2,39.324592,-120.645375
283,Spaulding 3,39.337679,-120.635467
284,Spring Gap,38.18653,-120.11168
285,Stanislaus,38.139048,-120.370325
286,Geysers Unit 5-20,38.777,-122.745
287,Tiger Creek,38.449291,-120.492645
289,Tule River,36.163076,-118.707104
290,Volta 1,40.459111,-121.86708
291,West Point PH,38.420898,-120.549572
292,Wise,38.889862,-121.098525
293,A G Wishon,37.15105,-119.504724
294,Copco 1,41.978914,-122.335317
295,Copco 2,41.975716,-122.358127
296,Fall Creek,41.985605,-122.360455
297,Iron Gate,41.932981,-122.43678
298,Limestone,31.4219,-96.2525
299,Blundell,38.4889,-112.8533
300,Division,32.681667,-117.120277
301,El Cajon,32.7958,-116.9722
302,Encina,33.1361,-117.3364
303,Kearny,32.834,-117.1338
305,Miramar,32.8761,-117.1664
306,Naval Station,32.681667,-117.120277
307,North Island,32.705,-117.190277
309,Silver Gate,32.697222,-117.114722
312,Refuse & Coal,39.902222,-83.024444
313,Green Lake,56.986284,-135.12275
314,Drop 5,32.673097,-115.392026
315,AES Alamitos LLC,33.7688,-118.1009
316,Sepulveda Canyon,34.0969,-118.4795
317,Big Creek 1,37.2042,-119.2396
318,Big Creek 2,37.2,-119.3069
319,Big Creek 3,37.148517,-119.386623
320,Big Creek 4,37.139,-119.4898
321,Big Creek 8,37.2096,-119.3289
322,Big Creek 2A,37.200062,-119.30681
323,Bishop Creek 2,37.273581,-118.573339
324,Bishop Creek 3,37.301962,-118.531957
325,Bishop Creek 4,37.323035,-118.501714
326,Bishop Creek 5,37.3344,-118.4797
327,Bishop Creek 6,37.3499,-118.4628
328,Borel,35.588069,-118.524804
329,Coolwater,34.8606,-116.8539
330,El Segundo Power,33.909804,-118.424172
331,Etiwanda Generating Station,34.09118,-117.52663
332,Fontana,34.155162,-117.397119
335,AES Huntington Beach LLC,33.6439,-117.9792
336,Kaweah 2,36.461326,-118.87988
337,Kaweah 1,36.465066,-118.862023
338,Kaweah 3,36.486059,-118.835645
339,Kern River 3,35.776185,-118.436233
340,Kern River 1,35.460303,-118.77959
341,Long Beach Generation LLC,33.7641,-118.2248
342,Lundy,38.042729,-119.172015
344,Mammoth Pool,37.220302,-119.337983
345,Mandalay,34.2067,-119.2511
350,Ormond Beach,34.1292,-119.1689
353,Poole,37.944237,-119.2161
354,Portal,37.257045,-119.158936
356,AES Redondo Beach LLC,33.8504,-118.395
357,Rush Creek,37.766954,-119.123284
358,Mountainview Generating Station,34.0818,-117.2418
360,San Onofre Nuclear Generating Station,33.368794,-117.554916
361,Santa Ana 1,34.14522,-117.058481
363,Santa Ana 3,34.107245,-117.099091
365,Lower Tule River,36.13568,-118.788868
371,Columbia Generating Station,46.4711,-119.3339
375,Magnolia,34.178056,-118.315556
376,Pardee,38.2569,-120.8507
377,Grayson,34.1556,-118.2782
378,Prairie River,47.287206,-93.498266
380,Dion R Holm,37.896649,-119.9675
381,Moccasin,37.809388,-120.299254
382,R C Kirkwood,37.877667,-119.953233
383,Brawley,32.968889,-115.534444
384,Joliet 29,41.494636,-88.123827
385,Drop 2 (CA),32.705435,-115.030975
386,Drop 3 (CA),32.705428,-115.126103
387,Drop 4,32.705341,-115.219067
388,Pilot Knob,32.736642,-114.713858
389,El Centro,32.802222,-115.54
390,Solomon Gulch,61.0828,-146.3033
391,Big Pine Creek,37.142795,-118.324075
392,Castaic,34.587237,-118.656638
393,Control Gorge,37.437921,-118.556988
394,Cottonwood,36.443421,-118.04389
396,Foothill,34.318248,-118.494449
397,Franklin (CA),34.103931,-118.413377
398,Haiwee,36.109722,-117.956667
399,Harbor,33.7856,-118.2644
400,Haynes,33.764741,-118.09913
401,Middle Gorge,37.51,-118.569167
402,Pleasant Valley Hydro,37.41416,-118.523889
403,San Fernando,34.260527,-118.385531
404,Scattergood,33.918151,-118.427648
406,Tok,63.33552,-142.99997
407,Upper Gorge,37.546036,-118.590001
408,Valley (CA),34.244991,-118.391327
409,Exchequer,37.584345,-120.26859
410,McSwain,37.522065,-120.31009
412,Chicago Park,39.177903,-120.890856
413,Dutch Flat 2,39.2184,-120.8352
414,Beardsley,38.202569,-120.076983
415,Donnells,38.246656,-120.034072
416,Tulloch,37.876111,-120.605
417,Forbestown,39.551012,-121.278784
418,Kelly Ridge,39.531784,-121.491247
419,Woodleaf,39.553811,-121.204077
420,Broadway (CA),34.1254,-118.148
421,Craig (AK),55.47691,-133.14869
422,Glenarm,34.126,-118.1494
423,Hydaburg,55.204937,-132.821435
424,French Meadows,39.077971,-120.406069
425,Middle Fork,39.024801,-120.596383
426,Oxbow (CA),39.003372,-120.746651
427,Ralston,39.000999,-120.725053
428,Parker,37.477838,-120.444492
430,Camino,38.82881,-120.537089
431,Jaybird,38.83405,-120.53176
432,Loon Lake,38.982697,-120.324503
433,Robbs Peak,38.896511,-120.378292
435,White Rock/Slab Creek,38.765336,-120.787366
436,Devil Canyon,34.2056,-117.3344
437,Edward C Hyatt,39.542985,-121.492188
438,Thermalito,39.514893,-121.630077
439,Don Pedro,37.695994,-120.420152
440,La Grange,37.6697,-120.4436
441,Folsom,38.70675,-121.158443
442,Judge F Carr,40.646934,-122.626973
443,Keswick,40.611858,-122.446441
444,Nimbus,38.63735,-121.220198
445,Shasta,40.717455,-122.422274
446,ONeill,37.098671,-121.047718
447,Parker Dam,34.295334,-114.140222
448,W R Gianelli,37.0692,-121.0772
450,Spring Creek,40.628115,-122.467509
451,Trinity,40.797296,-122.762553
454,Colgate,39.330833,-121.191666
455,Narrows 2,39.238996,-121.270409
457,Bear Valley,33.166246,-117.016566
460,Pueblo,38.2667,-104.6144
462,W N Clark,38.4344,-105.25
464,Alamosa,37.4594,-105.8947
465,Arapahoe,39.67,-105.0028
466,Boulder Canyon Hydro,40.004725,-105.332495
467,Cabin Creek,39.6551,-105.7088
468,Cameo,39.127778,-108.326111
469,Cherokee,39.807275,-104.964548
470,Comanche (CO),38.2081,-104.5747
471,Fruita,39.1364,-108.7347
472,Georgetown Hydro,39.6919,-105.6978
473,Grand Valley Project Power Plant,39.101667,-108.345556
474,Salida,38.53419,-106.182003
476,Shoshone (CO),39.57013,-107.226876
477,Valmont,40.0195,-105.202
478,Zuni,39.737348,-105.016991
479,Temescal,33.8343,-117.4971
480,Corona,33.85895,-117.6106
481,Perris,33.8361,-117.1831
482,Rio Hondo,34.004722,-118.09917
483,Coyote Creek,33.92493,-117.95517
484,Red Mountain,33.3944,-117.1889
487,Valley View,33.9001,-117.82905
489,Upper Dawson,37.6508,-120.4706
491,Center,37.753606,-106.10467
492,Martin Drake,38.824444,-104.833333
493,George Birdsall,38.881389,-104.816944
494,Manitou Springs,38.855556,-104.933056
495,Ruxton Park,38.841354,-104.973802
502,Holly,38.032717,-102.073659
504,Julesburg,40.9505,-102.2795
505,Boysen,43.417872,-108.177545
506,La Junta,37.9876,-103.5468
507,Las Animas,38.0647,-103.2159
508,Lamar Plant,38.033327,-102.537915
510,Sonoma California Geothermal,38.7903,-122.7559
511,Trinidad (CO),37.178979,-104.487492
512,Blue Mesa,38.453191,-107.337483
513,Estes,40.376771,-105.509665
514,Morrow Point,38.451753,-107.539299
515,Big Thompson,40.421031,-105.223804
516,Green Mountain,39.878805,-106.332725
517,Marys Lake,40.34408,-105.534308
518,Flatiron,40.364996,-105.236032
519,Pole Hill,40.365056,-105.325074
520,Lower Molina,39.19366,-108.044088
521,Upper Molina,39.143808,-108.004777
525,Hayden,40.4856,-107.185
527,Nucla,38.2383,-108.5069
529,Rancho Seco Solar,38.340015,-121.113861
531,Camp Far West,39.048802,-121.316966
533,McWilliams,31.400255,-86.476449
534,Jones Fork,38.850283,-120.381883
535,McClellan (CA),38.652731,-121.393336
537,Camanche,38.2268,-121.0245
