years,place,lat,lon
1253,Millstone,41.3107,-72.1677
2806.4,Palo Verde,33.3881,-112.8617
1205.1,Catawba,35.0514,-81.0694
1138.5,Limerick,40.224303,-75.58744
1290.7,PSEG Hope Creek Generating Station,39.4666,-75.5377
1035.9,River Bend,30.757,-91.3327
