plant_code,plant_name,city,state,latitude,longitude,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1993,1996,2013,2016,2019,2020,2026,2027
6045,St Lucie,Jensen Beach,FL,27.348610999999998,-80.246388999999994,,,,,,,,1080,,,,,,,1080,,,,,,,,,,,,,,,
6051,Edwin I Hatch,Baxley,GA,31.934200000000001,-82.344700000000003,,,,,,,857.1,,,,864.7,,,,,,,,,,,,,,,,,,,
6072,Grand Gulf,Port Gibson,MS,32.008099999999999,-91.047799999999995,,,,,,,,,,,,,,,,,1440,,,,,,,,,,,,,
6103,TalenEnergy Susquehanna,Berwick,PA,41.091900000000003,-76.146199999999993,,,,,,,,,,,,,,,1298,,1298,,,,,,,,,,,,,
6105,Limerick,Sanatoga,PA,40.224302999999999,-75.587440000000001,,,,,,,,,,,,,,,,,,1138.5,,,,1138.5,,,,,,,,
6110,James A Fitzpatrick,Lycoming,NY,43.521389999999997,-76.408394000000001,,,,,,,,882,,,,,,,,,,,,,,,,,,,,,,
6115,Seabrook,Seabrook,NH,42.899166999999998,-70.848889,,,,,,,,,,,,,,,,,,,,,,1242,,,,,,,,
6118,PSEG Hope Creek Generating Station,Hancocks Bridge,NJ,39.4666,-75.537700000000001,,,,,,,,,,,,,,,,,,1290.7,,,,,,,,,,,,
6122,R E Ginna Nuclear Power Plant,Ontario,NY,43.277700000000003,-77.309899999999999,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6127,V C Summer,Jenkinsville,SC,34.298299999999998,-81.315299999999993,,,,,,,,,,,,,,,,1029.6,,,,,,,,,,,,2200,,
6145,Comanche Peak,Glen Rose,TX,32.298364999999997,-97.785515000000004,,,,,,,,,,,,,,,,,,,,,,1215,1215,,,,,,,
6149,Davis Besse,Oak Harbor,OH,41.596699999999998,-83.086100000000002,,,,,,,,,925.2,,,,,,,,,,,,,,,,,,,,,
6152,Sequoyah,Soddy Daisy,TN,35.226700000000001,-85.091700000000003,,,,,,,,,,,,,1220.5,1220.5,,,,,,,,,,,,,,,,
6153,Callaway,Fulton,MO,38.758918999999999,-91.778841,,,,,,,,,,,,,,,,1235.8,,,,,,,,,,,,,,
6168,North Anna,Mineral,VA,38.06,-77.789699999999996,,,,,,,,,,979.7,,979.7,,,,,,,,,,,,,,,,,,
6251,South Texas Project,Wadsworth,TX,28.795000000000002,-96.048100000000005,,,,,,,,,,,,,,,,,,,,1354.3,1354.3,,,,,,,,,
6462,River Bend,St. Francisville,LA,30.757000000000001,-91.332700000000003,,,,,,,,,,,,,,,,,,1035.9,,,,,,,,,,,,
7722,Watts Bar Nuclear Plant,Spring City,TN,35.6021,-84.789500000000004,,,,,,,,,,,,,,,,,,,,,,,,1269.9,,1269.9,,,,
8036,Cooper Nuclear Station,Brownville,NE,40.3628,-95.640799999999999,,,,,,801,,,,,,,,,,,,,,,,,,,,,,,,
8055,Arkansas Nuclear One,Russellville,AR,35.311,-93.235100000000003,,,,,,902.5,,,,,,942.5,,,,,,,,,,,,,,,,,,
8907,Indian Point 3,Buchanan,NY,41.270600000000002,-73.952600000000004,,,,,,,,1012,,,,,,,,,,,,,,,,,,,,,,
61075,UAMPS Carbon Free Power Plant,Idaho Falls,ID,43.519584999999999,-112.046184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,200
