plant_code,year,capacity,plant_name,city,state,latitude,longitude
6110,1976,882,James A Fitzpatrick,Lycoming,NY,43.521389999999997,-76.408394000000001
6115,1990,1242,Seabrook,Seabrook,NH,42.899166999999998,-70.848889
6118,1986,1290.7,PSEG Hope Creek Generating Station,Hancocks Bridge,NJ,39.4666,-75.537700000000001
6122,1970,614,R E Ginna Nuclear Power Plant,Ontario,NY,43.277700000000003,-77.309899999999999
6127,1984,1029.6,V C Summer,Jenkinsville,SC,34.298299999999998,-81.315299999999993
6127,2020,2200,V C Summer,Jenkinsville,SC,34.298299999999998,-81.315299999999993
6145,1990,1215,Comanche Peak,Glen Rose,TX,32.298364999999997,-97.785515000000004
6145,1993,1215,Comanche Peak,Glen Rose,TX,32.298364999999997,-97.785515000000004
6149,1977,925.2,Davis Besse,Oak Harbor,OH,41.596699999999998,-83.086100000000002
6152,1981,1220.5,Sequoyah,Soddy Daisy,TN,35.226700000000001,-85.091700000000003
6152,1982,1220.5,Sequoyah,Soddy Daisy,TN,35.226700000000001,-85.091700000000003
6153,1984,1235.8,Callaway,Fulton,MO,38.758918999999999,-91.778841
6168,1978,979.7,North Anna,Mineral,VA,38.06,-77.789699999999996
6168,1980,979.7,North Anna,Mineral,VA,38.06,-77.789699999999996
6251,1988,1354.3,South Texas Project,Wadsworth,TX,28.795000000000002,-96.048100000000005
6251,1989,1354.3,South Texas Project,Wadsworth,TX,28.795000000000002,-96.048100000000005
6462,1986,1035.9,River Bend,St. Francisville,LA,30.757000000000001,-91.332700000000003
7722,1996,1269.9,Watts Bar Nuclear Plant,Spring City,TN,35.6021,-84.789500000000004
7722,2016,1269.9,Watts Bar Nuclear Plant,Spring City,TN,35.6021,-84.789500000000004
8036,1974,801,Cooper Nuclear Station,Brownville,NE,40.3628,-95.640799999999999
8055,1974,902.5,Arkansas Nuclear One,Russellville,AR,35.311,-93.235100000000003
8055,1980,942.5,Arkansas Nuclear One,Russellville,AR,35.311,-93.235100000000003
8907,1976,1012,Indian Point 3,Buchanan,NY,41.270600000000002,-73.952600000000004
61075,2026,400,UAMPS Carbon Free Power Plant,Idaho Falls,ID,43.519584999999999,-112.046184
61075,2027,200,UAMPS Carbon Free Power Plant,Idaho Falls,ID,43.519584999999999,-112.046184
