plant_code,plant_name,latitude,longitude,city,state
400,Haynes,33.764741,-118.09913,Long Beach,CA
401,Middle Gorge,37.51,-118.569167,Bishop,CA
402,Pleasant Valley Hydro,37.41416,-118.523889,Bishop,CA
403,San Fernando,34.260527,-118.385531,San Fernando,CA
404,Scattergood,33.918151,-118.427648,Playa Dal Ray,CA
406,Tok,63.33552,-142.99997,Tok,AK
407,Upper Gorge,37.546036,-118.590001,Bishop,CA
408,Valley (CA),34.244991,-118.391327,Sun Valley,CA
409,Exchequer,37.584345,-120.26859,Snelling,CA
410,McSwain,37.522065,-120.31009,Snelling,CA
412,Chicago Park,39.177903,-120.890856,Colfax,CA
413,Dutch Flat 2,39.2184,-120.8352,Dutch Flat,CA
414,Beardsley,38.202569,-120.076983,None,CA
415,Donnells,38.246656,-120.034072,None,CA
416,Tulloch,37.876111,-120.605,Jamestown,CA
417,Forbestown,39.551012,-121.278784,Forbestown,CA
418,Kelly Ridge,39.531784,-121.491247,Oroville,CA
419,Woodleaf,39.553811,-121.204077,Forbestown,CA
420,Broadway (CA),34.1254,-118.148,Pasadena,CA
421,Craig (AK),55.47691,-133.14869,Craig,AK
422,Glenarm,34.126,-118.1494,Pasadena,CA
423,Hydaburg,55.204937,-132.821435,Prince of Wales,AK
424,French Meadows,39.077971,-120.406069,Foresthill,CA
425,Middle Fork,39.024801,-120.596383,Foresthill,CA
426,Oxbow (CA),39.003372,-120.746651,Foresthill,CA
427,Ralston,39.000999,-120.725053,Foresthill,CA
428,Parker,37.477838,-120.444492,Snelling,CA
430,Camino,38.82881,-120.537089,Camino,CA
431,Jaybird,38.83405,-120.53176,Camino,CA
432,Loon Lake,38.982697,-120.324503,Fresh Pond,CA
433,Robbs Peak,38.896511,-120.378292,Fresh Pond,CA
435,White Rock/Slab Creek,38.765336,-120.787366,Placerville,CA
436,Devil Canyon,34.2056,-117.3344,San Bernardino,CA
437,Edward C Hyatt,39.542985,-121.492188,Oroville,CA
438,Thermalito,39.514893,-121.630077,Oroville,CA
439,Don Pedro,37.695994,-120.420152,La Grange,CA
440,La Grange,37.6697,-120.4436,La Grange,CA
441,Folsom,38.70675,-121.158443,Folsom,CA
442,Judge F Carr,40.646934,-122.626973,French Gulch,CA
443,Keswick,40.611858,-122.446441,Redding,CA
444,Nimbus,38.63735,-121.220198,Folsom,CA
445,Shasta,40.717455,-122.422274,Redding,CA
446,ONeill,37.098671,-121.047718,Los Banos,CA
447,Parker Dam,34.295334,-114.140222,Parker,CA
448,W R Gianelli,37.0692,-121.0772,Gustine,CA
450,Spring Creek,40.628115,-122.467509,Redding,CA
451,Trinity,40.797296,-122.762553,Weaverville,CA
454,Colgate,39.330833,-121.191666,Dobbins,CA
455,Narrows 2,39.238996,-121.270409,Browns Valley,CA
457,Bear Valley,33.166246,-117.016566,Escondido,CA
460,Pueblo,38.2667,-104.6144,Pueblo,CO
462,W N Clark,38.4344,-105.25,Canon City,CO
464,Alamosa,37.4594,-105.8947,Alamosa,CO
465,Arapahoe,39.67,-105.0028,Denver,CO
466,Boulder Canyon Hydro,40.004725,-105.332495,Boulder,CO
467,Cabin Creek,39.6551,-105.7088,Georgetown,CO
468,Cameo,39.127778,-108.326111,Palisade,CO
469,Cherokee,39.807275,-104.964548,denver,CO
470,Comanche (CO),38.2081,-104.5747,Pueblo,CO
471,Fruita,39.1364,-108.7347,Grand Junction,CO
472,Georgetown Hydro,39.6919,-105.6978,Georgetown,CO
473,Grand Valley Project Power Plant,39.101667,-108.345556,Palisade,CO
474,Salida,38.53419,-106.182003,Salida,CO
476,Shoshone (CO),39.57013,-107.226876,Glenwood Springs,CO
477,Valmont,40.0195,-105.202,Boulder,CO
478,Zuni,39.737348,-105.016991,Denver,CO
479,Temescal,33.8343,-117.4971,Corona,CA
480,Corona,33.85895,-117.6106,Corona,CA
481,Perris,33.8361,-117.1831,Perris,CA
482,Rio Hondo,34.004722,-118.09917,South Gate,CA
483,Coyote Creek,33.92493,-117.95517,La Habra,CA
484,Red Mountain,33.3944,-117.1889,Fallbrook,CA
487,Valley View,33.9001,-117.82905,Yorba Linda,CA
489,Upper Dawson,37.6508,-120.4706,La Grange,CA
491,Center,37.753606,-106.10467,Center,CO
492,Martin Drake,38.824444,-104.833333,Colorado Springs,CO
493,George Birdsall,38.881389,-104.816944,Colorado Springs,CO
494,Manitou Springs,38.855556,-104.933056,Manitou Spring,CO
495,Ruxton Park,38.841354,-104.973802,Manitou Spring,CO
502,Holly,38.032717,-102.073659,Holly,CO
504,Julesburg,40.9505,-102.2795,Julesburg,CO
505,Boysen,43.417872,-108.177545,Thermopolis,WY
506,La Junta,37.9876,-103.5468,La Junta,CO
507,Las Animas,38.0647,-103.2159,Las Animas,CO
508,Lamar Plant,38.033327,-102.537915,Lamar,CO
510,Sonoma California Geothermal,38.7903,-122.7559,Middletown,CA
511,Trinidad (CO),37.178979,-104.487492,Trinidad,CO
512,Blue Mesa,38.453191,-107.337483,Gunnison,CO
513,Estes,40.376771,-105.509665,Estes Park,CO
514,Morrow Point,38.451753,-107.539299,Montrose,CO
515,Big Thompson,40.421031,-105.223804,Loveland,CO
516,Green Mountain,39.878805,-106.332725,Kremmling,CO
517,Marys Lake,40.34408,-105.534308,Estes Park,CO
518,Flatiron,40.364996,-105.236032,Loveland,CO
519,Pole Hill,40.365056,-105.325074,Loveland,CO
520,Lower Molina,39.19366,-108.044088,Molina,CO
521,Upper Molina,39.143808,-108.004777,Molina,CO
525,Hayden,40.4856,-107.185,Hayden,CO
527,Nucla,38.2383,-108.5069,Nucla,CO
529,Rancho Seco Solar,38.340015,-121.113861,Herald,CA
531,Camp Far West,39.048802,-121.316966,Lincoln,CA
533,McWilliams,31.400255,-86.476449,Gantt,AL
534,Jones Fork,38.850283,-120.381883,Fresh Pond,CA
535,McClellan (CA),38.652731,-121.393336,Sacramento,CA
537,Camanche,38.2268,-121.0245,Clements & Wallace,CA
539,Rocky River (CT),41.5826,-73.4349,New Milford,CT
540,Branford,41.2925,-72.7942,Branford,CT
